Charge_Capacity(Ah),Voltage(V),Cycle_Number
0.001,3.6,0.0
0.001,3.6035971223021583,0.0
0.001,3.6071942446043166,0.0
0.001,3.610791366906475,0.0
0.001,3.614388489208633,0.0
0.001,3.6179856115107913,0.0
0.001,3.6215827338129496,0.0
0.001,3.625179856115108,0.0
0.001,3.628776978417266,0.0
0.001,3.6323741007194243,0.0
0.001,3.6359712230215826,0.0
0.001,3.639568345323741,0.0
0.001,3.6431654676258995,0.0
0.001,3.646762589928058,0.0
0.001,3.650359712230216,0.0
0.001,3.6539568345323743,0.0
0.001044383466109953,3.6575539568345325,0.0
0.001237758915893724,3.661151079136691,0.0
0.001443795941573795,3.664748201438849,0.0
0.0016677465298894586,3.6683453237410073,0.0
0.00190474782306662,3.6719424460431656,0.0
0.0021636591335823024,3.675539568345324,0.0
0.0024346307152894853,3.679136690647482,0.0
0.0027310212006103375,3.6827338129496403,0.0
0.0030385154843885955,3.6863309352517986,0.0
0.0033671603764623007,3.689928057553957,0.0
0.0037094522655267185,3.693525179856115,0.0
0.004078845913301526,3.6971223021582733,0.0
0.004471802334323088,3.7007194244604316,0.0
0.004880596057738145,3.70431654676259,0.0
0.00530294627779843,3.707913669064748,0.0
0.005747930482323566,3.7115107913669063,0.0
0.006215596868327595,3.7151079136690646,0.0
0.006717093560771126,3.718705035971223,0.0
0.007217450748404048,3.722302158273381,0.0
0.007757016519833888,3.7258992805755398,0.0
0.008334271760204653,3.729496402877698,0.0
0.008924307578309717,3.7330935251798563,0.0
0.009551697032038908,3.7366906474820145,0.0
0.01019108812315129,3.7402877697841728,0.0
0.010845558698428789,3.743884892086331,0.0
0.011540388710652615,3.7474820143884893,0.0
0.012273631350252594,3.7510791366906475,0.0
0.013010112726878789,3.7546762589928058,0.0
0.013836165839973723,3.758273381294964,0.0
0.01465231908552964,3.7618705035971223,0.0
0.01549484250909492,3.7654676258992805,0.0
0.016393766787299684,3.7690647482014388,0.0
0.017307020602331476,3.772661870503597,0.0
0.018257606197975753,3.7762589928057553,0.0
0.019251588014901663,3.7798561151079135,0.0
0.02028543055330064,3.783453237410072,0.0
0.021357513173205087,3.78705035971223,0.0
0.022476807637793847,3.7906474820143883,0.0
0.0236113358251117,3.7942446043165465,0.0
0.024794443087150793,3.797841726618705,0.0
0.026065863779879545,3.801438848920863,0.0
0.027346361913656022,3.8050359712230213,0.0
0.028677613935468412,3.80863309352518,0.0
0.030068547545375485,3.8122302158273382,0.0
0.03149765029194992,3.8158273381294965,0.0
0.03298970666334214,3.8194244604316547,0.0
0.03452022027859127,3.823021582733813,0.0
0.036115335961212525,3.8266187050359712,0.0
0.03780476798201092,3.8302158273381295,0.0
0.039536965371278925,3.8338129496402877,0.0
0.041361778388591855,3.837410071942446,0.0
0.04320441091667929,3.8410071942446042,0.0
0.04519639654225526,3.8446043165467625,0.0
0.047273915085945806,3.8482014388489207,0.0
0.04936977477266097,3.851798561151079,0.0
