Charge_Capacity(Ah),Voltage(V),Cycle_Number
0.001,3.6,0.0
0.001,3.6035971223021583,0.0
0.001,3.6071942446043166,0.0
0.001,3.610791366906475,0.0
0.001,3.614388489208633,0.0
0.001,3.6179856115107913,0.0
0.001,3.6215827338129496,0.0
0.001,3.625179856115108,0.0
0.001,3.628776978417266,0.0
0.001,3.6323741007194243,0.0
0.001,3.6359712230215826,0.0
0.001,3.639568345323741,0.0
0.001,3.6431654676258995,0.0
0.001,3.646762589928058,0.0
0.001,3.650359712230216,0.0
0.001,3.6539568345323743,0.0
0.001,3.6575539568345325,0.0
0.0011153320134642839,3.661151079136691,0.0
0.0013073927422281517,3.664748201438849,0.0
0.0015143517864893345,3.6683453237410073,0.0
0.0017369081665083758,3.6719424460431656,0.0
0.001972002169795715,3.675539568345324,0.0
0.0022319439528690663,3.679136690647482,0.0
0.0025058200585856213,3.6827338129496403,0.0
0.002799508842311936,3.6863309352517986,0.0
0.003103441271891046,3.689928057553957,0.0
0.003428972342623611,3.693525179856115,0.0
0.003783395852753538,3.6971223021582733,0.0
0.004136768497212619,3.7007194244604316,0.0
0.004528074997960683,3.70431654676259,0.0
0.004934081761327833,3.707913669064748,0.0
0.005357852885586722,3.7115107913669063,0.0
0.005810294177496093,3.7151079136690646,0.0
0.006277404799833726,3.718705035971223,0.0
0.006762671290640641,3.722302158273381,0.0
0.007279493999056648,3.7258992805755398,0.0
0.007813857397339322,3.729496402877698,0.0
0.008385737036299221,3.7330935251798563,0.0
0.008969849227799365,3.7366906474820145,0.0
0.009575495700149428,3.7402877697841728,0.0
0.010216489239774366,3.743884892086331,0.0
0.01089217299751082,3.7474820143884893,0.0
0.01158375086004523,3.7510791366906475,0.0
0.012316568844511993,3.7546762589928058,0.0
0.013077286636290363,3.758273381294964,0.0
0.013873205522365697,3.7618705035971223,0.0
0.014681851332258437,3.7654676258992805,0.0
0.015535175723195535,3.7690647482014388,0.0
0.01643861551912231,3.772661870503597,0.0
0.017338411803163947,3.7762589928057553,0.0
0.0183154224262512,3.7798561151079135,0.0
0.019304184436019594,3.783453237410072,0.0
0.020334630042934117,3.78705035971223,0.0
0.021417871866476586,3.7906474820143883,0.0
0.02255607029528228,3.7942446043165465,0.0
0.023710408978855232,3.797841726618705,0.0
0.02491101894483878,3.801438848920863,0.0
0.02617076131930753,3.8050359712230213,0.0
0.02746920201420875,3.80863309352518,0.0
0.02882522223253141,3.8122302158273382,0.0
0.030247047293254975,3.8158273381294965,0.0
0.031677671284161636,3.8194244604316547,0.0
0.033211571502960606,3.823021582733813,0.0
0.03476833031636178,3.8266187050359712,0.0
0.03640924634121244,3.8302158273381295,0.0
0.038126411296107277,3.8338129496402877,0.0
0.03987081474755186,3.837410071942446,0.0
0.04172289675152015,3.8410071942446042,0.0
0.043640740156209966,3.8446043165467625,0.0
0.04570004755343882,3.8482014388489207,0.0
0.0477265558948429,3.851798561151079,0.0
0.049912173888690264,3.8553956834532372,0.0
